event_id,user_id,event_type,event_timestamp,session_id,properties
evt_000001,user_0833,export,2023-11-14 00:00:00,sess_02667,{}
evt_000002,user_0820,page_view,2023-06-18 00:00:00,sess_00443,{}
evt_000003,user_0625,settings_change,2023-04-10 00:00:00,sess_02611,{}
evt_000004,user_0371,export,2023-11-14 00:00:00,sess_00996,{}
evt_000005,user_0046,page_view,2023-10-27 00:00:00,sess_02670,{}
evt_000006,user_0325,login,2023-03-16 00:00:00,sess_01265,{}
evt_000007,user_0304,api_call,2023-09-23 00:00:00,sess_02779,{}
evt_000008,user_0249,login,2023-10-14 00:00:00,sess_01409,{}
evt_000009,user_0210,settings_change,2023-02-05 00:00:00,sess_02736,{}
evt_000010,user_0725,export,2023-06-19 00:00:00,sess_01375,{}
evt_000011,user_0438,api_call,2023-08-21 00:00:00,sess_00899,{}
evt_000012,user_0671,feature_used,2023-08-27 00:00:00,sess_00980,{}
evt_000013,user_0805,api_call,2023-07-12 00:00:00,sess_00755,{}
evt_000014,user_0007,legacy_click,2023-07-03 00:00:00,sess_00472,{}
evt_000015,user_0460,feature_used,2023-07-04 00:00:00,sess_00816,{}
evt_000016,user_0182,feature_used,2023-03-31 00:00:00,sess_02272,{}
evt_000017,user_0205,page_view,2023-05-15 00:00:00,sess_02775,{}
evt_000018,user_0687,page_view,2023-04-18 00:00:00,sess_00984,{}
evt_000019,user_0391,settings_change,2023-09-27 00:00:00,sess_01777,{}
evt_000020,user_0067,page_view,2023-03-08 00:00:00,sess_02182,{}
evt_000021,user_0393,api_call,2023-11-22 00:00:00,sess_00190,{}
evt_000022,user_0616,feature_used,2023-05-31 00:00:00,sess_01013,{}
evt_000023,user_0833,api_call,2023-09-18 00:00:00,sess_02003,{}
evt_000024,user_0084,export,2023-11-11 00:00:00,sess_02084,{}
evt_000025,user_0923,settings_change,2023-07-11 00:00:00,sess_01902,{}
evt_000026,user_0746,api_call,2023-09-05 00:00:00,sess_01941,{}
evt_000027,user_0420,settings_change,2023-10-26 00:00:00,sess_00849,{}
evt_000028,user_0212,export,2023-07-22 00:00:00,sess_01741,{}
evt_000029,user_0600,feature_used,2023-07-11 00:00:00,sess_00348,{}
evt_000030,user_0087,api_call,2023-06-30 00:00:00,sess_00169,{}
evt_000031,user_0653,api_call,2023-08-28 00:00:00,sess_01506,{}
evt_000032,user_0331,api_call,2023-04-02 00:00:00,sess_01088,{}
evt_000033,user_0376,page_view,2023-09-14 00:00:00,sess_02637,{}
evt_000034,user_0289,feature_used,2023-02-06 00:00:00,sess_02237,{}
evt_000035,user_0206,settings_change,2023-06-04 00:00:00,sess_02800,{}
evt_000036,user_0200,settings_change,2023-03-12 00:00:00,sess_02225,{}
evt_000037,user_0009,api_call,2023-06-27 00:00:00,sess_02376,{}
evt_000038,user_0013,export,2023-03-18 00:00:00,sess_00930,{}
evt_000039,user_0219,export,2023-10-28 00:00:00,sess_01920,{}
evt_000040,user_0483,api_call,2023-06-10 00:00:00,sess_02859,{}
evt_000041,user_0459,export,2023-01-16 00:00:00,sess_02366,{}
evt_000042,user_0318,legacy_click,2023-12-04 00:00:00,sess_00924,{}
evt_000043,user_0719,export,2023-12-20 00:00:00,sess_01336,{}
evt_000044,user_0595,page_view,2023-03-20 00:00:00,sess_02580,{}
evt_000045,user_0956,login,2023-07-20 00:00:00,sess_01601,{}
evt_000046,user_0405,feature_used,2023-06-18 00:00:00,sess_02618,{}
evt_000047,user_0096,feature_used,2023-10-11 00:00:00,sess_02823,{}
evt_000048,user_0028,feature_used,2023-07-17 00:00:00,sess_00955,{}
evt_000049,user_0549,page_view,2023-07-08 00:00:00,sess_00704,{}
evt_000050,user_0952,export,2023-02-26 00:00:00,sess_01714,{}
evt_000051,user_0071,export,2023-04-16 00:00:00,sess_00843,{}
evt_000052,user_0856,settings_change,2023-03-23 00:00:00,sess_01272,{}
evt_000053,user_0527,settings_change,2023-05-22 00:00:00,sess_00585,{}
evt_000054,user_0863,export,2023-05-07 00:00:00,sess_02332,{}
evt_000055,user_0482,export,2023-02-16 00:00:00,sess_01870,{}
evt_000056,user_0881,settings_change,2023-07-20 00:00:00,sess_00718,{}
evt_000057,user_0188,login,2023-08-23 00:00:00,sess_02700,{}
evt_000058,user_0596,page_view,2023-01-23 00:00:00,sess_00647,{}
evt_000059,user_0660,login,2023-02-04 00:00:00,sess_02959,{}
evt_000060,user_0951,export,2023-10-11 00:00:00,sess_00314,{}
evt_000061,user_0529,api_call,2023-03-26 00:00:00,sess_02073,{}
evt_000062,user_0028,page_view,2023-12-12 00:00:00,sess_01562,{}
evt_000063,user_0418,feature_used,2023-01-06 00:00:00,sess_02905,{}
evt_000064,user_0341,settings_change,2023-09-06 00:00:00,sess_00339,{}
evt_000065,user_0254,settings_change,2023-03-13 00:00:00,sess_01144,{}
evt_000066,user_0178,page_view,2023-04-01 00:00:00,sess_02190,{}
evt_000067,user_0176,page_view,2023-01-06 00:00:00,sess_00629,{}
evt_000068,user_0186,feature_used,2023-12-12 00:00:00,sess_01811,{}
evt_000069,user_0875,settings_change,2023-11-25 00:00:00,sess_02704,{}
evt_000070,user_0409,settings_change,2023-01-27 00:00:00,sess_00200,{}
evt_000071,user_0804,feature_used,2023-07-11 00:00:00,sess_00375,{}
evt_000072,,page_view,2023-06-22 00:00:00,sess_02741,{}
evt_000073,user_0923,page_view,2023-12-07 00:00:00,sess_00685,{}
evt_000074,user_0537,page_view,2023-06-15 00:00:00,sess_00777,{}
evt_000075,user_0978,login,2023-08-08 00:00:00,sess_00876,{}
evt_000076,user_0338,feature_used,2023-12-01 00:00:00,sess_01595,{}
evt_000077,user_0230,page_view,2023-05-23 00:00:00,sess_01512,{}
evt_000078,user_0927,feature_used,2023-11-03 00:00:00,sess_02919,{}
evt_000079,user_0965,login,2023-02-18 00:00:00,sess_02585,{}
evt_000080,user_0711,settings_change,2023-03-31 00:00:00,sess_02817,{}
evt_000081,user_0890,settings_change,2023-06-21 00:00:00,sess_02397,{}
evt_000082,user_0536,settings_change,2023-09-15 00:00:00,sess_00055,{}
evt_000083,user_0648,page_view,2023-08-08 00:00:00,sess_00326,{}
evt_000084,user_0393,export,2023-03-19 00:00:00,sess_02630,{}
evt_000085,user_0966,settings_change,2023-08-16 00:00:00,sess_01347,{}
evt_000086,user_0332,settings_change,2023-01-21 00:00:00,sess_01700,{}
evt_000087,user_0301,page_view,2023-06-19 00:00:00,sess_00844,{}
evt_000088,user_0949,settings_change,2023-12-18 00:00:00,sess_00912,{}
evt_000089,user_0400,login,2023-08-15 00:00:00,sess_00265,{}
evt_000090,user_0072,feature_used,2023-03-14 00:00:00,sess_00376,{}
evt_000091,user_0576,feature_used,2023-02-10 00:00:00,sess_01914,{}
evt_000092,user_0755,feature_used,2023-04-01 00:00:00,sess_01242,{}
evt_000093,user_0469,settings_change,2023-09-04 00:00:00,sess_01632,{}
evt_000094,user_0493,export,2023-11-09 00:00:00,sess_00639,{}
evt_000095,user_0831,export,2023-07-15 00:00:00,sess_00341,{}
evt_000096,user_0964,api_call,2023-03-20 00:00:00,sess_00720,{}
evt_000097,user_0485,api_call,2023-07-12 00:00:00,sess_01970,{}
evt_000098,user_0141,settings_change,2023-03-21 00:00:00,sess_00053,{}
evt_000099,user_0765,settings_change,2023-07-27 00:00:00,sess_01529,{}
evt_000100,user_0321,settings_change,2023-02-06 00:00:00,sess_00160,{}
evt_000101,user_0128,export,2023-03-25 00:00:00,sess_01788,{}
evt_000102,user_0808,settings_change,2023-12-30 00:00:00,sess_02821,{}
evt_000103,user_0060,settings_change,2023-08-06 00:00:00,sess_00993,{}
evt_000104,user_0964,api_call,2023-12-13 00:00:00,sess_02727,{}
evt_000105,user_0273,login,2023-12-15 00:00:00,sess_01014,{}
evt_000106,user_0997,settings_change,2023-01-07 00:00:00,sess_00379,{}
evt_000107,user_0959,export,2023-10-28 00:00:00,sess_00774,{}
evt_000108,user_0173,export,2023-06-04 00:00:00,sess_02698,{}
evt_000109,user_0615,api_call,2023-02-15 00:00:00,sess_02346,{}
evt_000110,user_0360,feature_used,2023-04-18 00:00:00,sess_02864,{}
evt_000111,user_0176,legacy_click,2023-02-05 00:00:00,sess_02151,{}
evt_000112,user_0301,settings_change,2023-04-01 00:00:00,sess_02884,{}
evt_000113,user_0509,feature_used,2023-02-26 00:00:00,sess_00871,{}
evt_000114,user_0061,settings_change,2023-04-09 00:00:00,sess_01675,{}
evt_000115,user_0955,login,2023-11-22 00:00:00,sess_01201,{}
evt_000116,user_0128,api_call,2023-01-16 00:00:00,sess_01958,{}
evt_000117,user_0796,legacy_click,2023-05-17 00:00:00,sess_02386,{}
evt_000118,user_0043,page_view,2023-01-04 00:00:00,sess_02131,{}
evt_000119,user_0797,api_call,2023-08-31 00:00:00,sess_01760,{}
evt_000120,user_0715,api_call,2023-05-03 00:00:00,sess_01633,{}
evt_000121,user_0059,api_call,2023-02-21 00:00:00,sess_02861,{}
evt_000122,user_0874,feature_used,2023-03-04 00:00:00,sess_02865,{}
evt_000123,user_0260,api_call,2023-12-18 00:00:00,sess_01947,{}
evt_000124,user_0693,legacy_click,2023-11-23 00:00:00,sess_02596,{}
evt_000125,user_0047,settings_change,2023-08-16 00:00:00,sess_01985,{}
evt_000126,user_0644,page_view,2023-09-01 00:00:00,sess_02866,{}
evt_000127,user_0769,export,2023-04-10 00:00:00,sess_02131,{}
evt_000128,user_0822,settings_change,2023-03-07 00:00:00,sess_00357,{}
evt_000129,user_0706,login,2023-08-28 00:00:00,sess_01828,{}
evt_000130,user_0504,settings_change,2023-05-05 00:00:00,sess_02703,{}
evt_000131,user_0109,export,2023-01-15 00:00:00,sess_01338,{}
evt_000132,user_0803,api_call,2023-05-12 00:00:00,sess_02747,{}
evt_000133,user_0141,login,2023-09-09 00:00:00,sess_02834,{}
evt_000134,user_0234,login,2023-11-04 00:00:00,sess_01406,{}
evt_000135,user_0751,settings_change,2023-07-15 00:00:00,sess_02302,{}
evt_000136,user_0457,feature_used,2023-03-01 00:00:00,sess_00457,{}
evt_000137,user_0776,login,2023-03-01 00:00:00,sess_00522,{}
evt_000138,user_0999,export,2023-01-01 00:00:00,sess_02417,{}
evt_000139,user_0886,export,2023-06-13 00:00:00,sess_02783,{}
evt_000140,user_0130,login,2023-10-30 00:00:00,sess_01620,{}
evt_000141,,export,2023-06-01 00:00:00,sess_02786,{}
evt_000142,user_0631,api_call,2023-12-07 00:00:00,sess_02454,{}
evt_000143,user_0527,settings_change,2023-12-28 00:00:00,sess_02585,{}
evt_000144,user_0518,api_call,2023-07-12 00:00:00,sess_01365,{}
evt_000145,user_0750,feature_used,2023-04-26 00:00:00,sess_00216,{}
evt_000146,user_0813,feature_used,2023-07-20 00:00:00,sess_02701,{}
evt_000147,user_0167,page_view,2023-06-22 00:00:00,sess_01940,{}
evt_000148,user_0793,export,2023-09-28 00:00:00,sess_01157,{}
evt_000149,user_0204,settings_change,2023-07-21 00:00:00,sess_01325,{}
evt_000150,user_0609,page_view,2023-12-30 00:00:00,sess_02682,{}
evt_000151,user_0142,export,2023-05-30 00:00:00,sess_00894,{}
evt_000152,user_0205,settings_change,2023-07-05 00:00:00,sess_02358,{}
evt_000153,user_0823,feature_used,2023-08-07 00:00:00,sess_00690,{}
evt_000154,user_0099,api_call,2023-04-02 00:00:00,sess_02112,{}
evt_000155,user_0622,export,2023-11-18 00:00:00,sess_01004,{}
evt_000156,user_0252,export,2023-12-19 00:00:00,sess_02674,{}
evt_000157,user_0813,settings_change,2023-12-10 00:00:00,sess_01900,{}
evt_000158,user_0682,export,2023-12-01 00:00:00,sess_00048,{}
evt_000159,user_0085,page_view,2023-12-09 00:00:00,sess_00095,{}
evt_000160,user_0601,export,2023-02-18 00:00:00,sess_01573,{}
evt_000161,user_0677,settings_change,2023-10-20 00:00:00,sess_01333,{}
evt_000162,user_0951,login,2023-12-25 00:00:00,sess_02278,{}
evt_000163,user_0821,login,2023-09-23 00:00:00,sess_02924,{}
evt_000164,user_0684,page_view,2023-04-17 00:00:00,sess_00481,{}
evt_000165,user_0629,settings_change,2023-10-12 00:00:00,sess_01288,{}
