payment_id,user_id,subscription_id,amount_usd,currency,refund_flag,payment_date,payment_method
pay_00001,user_0001,sub_0000,49,USD,False,2023-12-24,card
pay_00002,user_0001,sub_0000,49,USD,False,2023-05-24,card
pay_00003,user_0001,sub_0000,49,USD,False,2023-05-11,card
pay_00004,user_0001,sub_0000,49,USD,False,2023-12-01,wire
pay_00005,user_0001,sub_0000,49,USD,False,2023-02-02,card
pay_00006,user_0004,sub_0003,599,USD,False,2023-02-22,ach
pay_00007,user_0004,sub_0003,599,EUR,False,2023-09-25,wire
pay_00008,user_0004,sub_0003,599,USD,False,2023-05-05,card
pay_00009,user_0004,sub_0003,599,USD,False,2023-11-01,ach
pay_00010,user_0004,sub_0003,599,USD,False,2023-12-24,card
pay_00011,user_0004,sub_0003,599,USD,False,2023-03-10,ach
pay_00012,user_0004,sub_0003,599,USD,False,2023-09-13,ach
pay_00013,user_0004,sub_0003,599,USD,False,2023-10-08,card
pay_00014,user_0004,sub_0003,599,USD,False,2023-10-02,card
pay_00015,user_0005,sub_0004,599,USD,False,2023-09-26,card
pay_00016,user_0005,sub_0004,599,USD,False,2023-01-06,wire
pay_00017,user_0005,sub_0004,599,USD,False,2023-03-19,card
pay_00018,user_0005,sub_0004,599,USD,False,2023-09-03,ach
pay_00019,user_0005,sub_0004,599,USD,False,2023-10-25,card
pay_00020,user_0005,sub_0004,599,USD,False,2023-02-15,wire
pay_00021,user_0007,sub_0006,149,USD,False,2023-05-28,wire
pay_00022,user_0007,sub_0006,149,USD,False,2023-09-10,card
pay_00023,user_0007,sub_0006,149,USD,False,2023-06-24,card
pay_00024,user_0007,sub_0006,149,USD,False,2023-10-22,card
pay_00025,user_0007,sub_0006,149,USD,False,2023-12-22,ach
pay_00026,user_0007,sub_0006,149,USD,False,2023-11-12,card
pay_00027,user_0008,sub_0007,49,USD,False,2023-09-23,ach
pay_00028,user_0008,sub_0007,49,USD,False,2023-05-18,ach
pay_00029,user_0009,sub_0008,49,USD,False,2023-07-15,wire
pay_00030,user_0009,sub_0008,49,USD,False,2023-06-01,ach
pay_00031,user_0009,sub_0008,49,USD,False,2023-01-13,wire
pay_00032,user_0009,sub_0008,49,USD,False,2023-10-01,wire
pay_00033,user_0009,sub_0008,49,USD,False,2023-05-20,card
pay_00034,user_0009,sub_0008,49,USD,False,2023-07-04,card
pay_00035,user_0009,sub_0008,49,USD,False,2023-07-29,wire
pay_00036,user_0009,sub_0008,49,USD,False,2023-04-11,card
pay_00037,user_0010,sub_0009,49,USD,False,2023-04-23,ach
pay_00038,user_0010,sub_0009,49,USD,False,2023-09-12,wire
pay_00039,user_0010,sub_0009,49,USD,False,2023-09-12,ach
pay_00040,user_0010,sub_0009,49,USD,False,2023-01-28,ach
pay_00041,user_0011,sub_0010,149,USD,False,2023-03-03,wire
pay_00042,user_0011,sub_0010,149,USD,False,2023-03-14,ach
pay_00043,user_0011,sub_0010,149,USD,False,2023-11-16,ach
pay_00044,user_0011,sub_0010,149,USD,False,2023-07-01,ach
pay_00045,user_0012,sub_0011,599,USD,False,2023-03-25,wire
pay_00046,user_0012,sub_0011,599,USD,False,2023-05-17,ach
pay_00047,user_0012,sub_0011,599,USD,False,2023-06-03,wire
pay_00048,user_0012,sub_0011,599,USD,False,2023-06-06,card
pay_00049,user_0012,sub_0011,599,USD,False,2023-11-01,wire
pay_00050,user_0012,sub_0011,599,USD,False,2023-04-21,card
pay_00051,user_0012,sub_0011,599,USD,False,2023-04-29,card
pay_00052,user_0012,sub_0011,599,USD,False,2023-01-16,card
pay_00053,user_0012,sub_0011,599,USD,False,2023-10-04,ach
pay_00054,user_0012,sub_0011,599,USD,False,2023-10-18,wire
pay_00055,user_0012,sub_0011,599,USD,False,2023-03-26,card
pay_00056,user_0012,sub_0011,599,USD,False,2023-08-08,wire
pay_00057,user_0013,sub_0012,49,USD,False,2023-03-26,wire
pay_00058,user_0013,sub_0012,49,USD,False,2023-03-05,ach
pay_00059,user_0013,sub_0012,49,USD,False,2023-08-08,card
pay_00060,user_0013,sub_0012,49,USD,False,2023-05-05,wire
pay_00061,user_0013,sub_0012,49,USD,False,2023-08-09,wire
pay_00062,user_0013,sub_0012,49,USD,False,2023-07-31,wire
pay_00063,user_0013,sub_0012,49,USD,False,2023-07-04,wire
pay_00064,user_0013,sub_0012,49,USD,False,2023-06-08,card
pay_00065,user_0013,sub_0012,49,USD,False,2023-09-07,card
pay_00066,user_0013,sub_0012,49,USD,False,2023-03-03,wire
pay_00067,user_0013,sub_0012,49,USD,False,2023-08-24,ach
pay_00068,user_0015,sub_0014,149,USD,False,2023-09-27,ach
pay_00069,user_0015,sub_0014,149,USD,False,2023-04-25,card
pay_00070,user_0016,sub_0015,49,USD,False,2023-12-06,card
pay_00071,user_0016,sub_0015,49,USD,False,2023-04-25,ach
pay_00072,user_0016,sub_0015,49,USD,False,2023-02-17,ach
pay_00073,user_0016,sub_0015,49,USD,False,2023-02-24,card
pay_00074,user_0016,sub_0015,49,USD,False,2023-10-01,wire
pay_00075,user_0016,sub_0015,49,USD,False,2023-12-25,ach
pay_00076,user_0016,sub_0015,49,USD,False,2023-02-13,wire
pay_00077,user_0017,sub_0016,149,USD,False,2023-02-14,ach
pay_00078,user_0018,sub_0017,49,USD,False,2023-08-03,wire
pay_00079,user_0018,sub_0017,49,USD,False,2023-03-13,card
pay_00080,user_0018,sub_0017,49,USD,False,2023-10-30,ach
pay_00081,user_0018,sub_0017,49,USD,False,2023-12-29,ach
pay_00082,user_0018,sub_0017,49,USD,False,2023-06-22,wire
pay_00083,user_0018,sub_0017,49,USD,False,2023-11-26,ach
pay_00084,user_0018,sub_0017,49,USD,False,2023-06-16,wire
pay_00085,user_0018,sub_0017,49,USD,False,2023-07-26,card
pay_00086,user_0019,sub_0018,49,USD,False,2023-01-06,card
pay_00087,user_0019,sub_0018,49,USD,False,2023-08-22,card
pay_00088,user_0019,sub_0018,49,USD,False,2023-03-19,card
pay_00089,user_0019,sub_0018,49,USD,False,2023-07-07,card
