metric_date,plan,country,acquisition_channel,dau,new_activations
2024-01-01,pro,IN,referral,1.0,0.0
2024-01-01,free,BR,referral,1.0,0.0
2024-01-01,enterprise,US,referral,1.0,0.0
2024-01-01,starter,DE,organic,1.0,0.0
2024-01-01,starter,US,referral,1.0,0.0
2024-01-01,free,UK,organic,1.0,0.0
2024-01-01,pro,UK,paid_search,1.0,0.0
2024-01-01,starter,DE,direct,1.0,0.0
2024-01-01,pro,AU,organic,1.0,0.0
2024-01-01,pro,BR,paid_search,1.0,0.0
2024-01-01,pro,BR,email,1.0,0.0
2024-01-01,pro,US,email,1.0,0.0
2024-01-01,pro,IN,email,1.0,0.0
2024-01-01,free,FR,email,1.0,0.0
2024-01-01,free,BR,email,1.0,0.0
2023-12-31,enterprise,CA,email,1.0,0.0
2023-12-31,free,US,organic,1.0,0.0
2023-12-31,starter,DE,organic,1.0,0.0
2023-12-31,starter,DE,email,1.0,0.0
2023-12-31,enterprise,DE,paid_search,1.0,0.0
2023-12-31,free,IN,referral,1.0,0.0
2023-12-31,starter,BR,direct,1.0,0.0
2023-12-31,enterprise,CA,direct,1.0,0.0
2023-12-31,starter,DE,referral,1.0,0.0
2023-12-31,starter,CA,paid_search,1.0,0.0
2023-12-31,pro,UK,direct,1.0,1.0
2023-12-31,free,AU,referral,1.0,0.0
2023-12-30,starter,US,paid_search,1.0,0.0
2023-12-30,enterprise,IN,organic,1.0,0.0
2023-12-30,starter,BR,organic,1.0,0.0
2023-12-30,starter,FR,direct,1.0,0.0
2023-12-30,free,AU,paid_search,1.0,0.0
2023-12-30,enterprise,IN,email,1.0,0.0
2023-12-30,free,IN,direct,1.0,0.0
2023-12-30,starter,US,referral,1.0,0.0
2023-12-30,pro,CA,paid_search,1.0,0.0
2023-12-30,pro,IN,organic,1.0,0.0
2023-12-30,starter,CA,referral,1.0,0.0
2023-12-30,free,UK,paid_search,1.0,0.0
2023-12-30,free,CA,referral,1.0,0.0
2023-12-30,starter,DE,organic,1.0,0.0
2023-12-30,starter,IN,email,1.0,0.0
2023-12-30,free,IN,email,1.0,0.0
2023-12-30,free,CA,organic,1.0,0.0
2023-12-30,starter,DE,referral,1.0,0.0
2023-12-29,enterprise,CA,direct,1.0,0.0
2023-12-29,pro,FR,referral,1.0,0.0
2023-12-29,enterprise,FR,referral,1.0,0.0
2023-12-29,enterprise,US,paid_search,1.0,0.0
2023-12-29,pro,DE,paid_search,1.0,0.0
2023-12-29,enterprise,FR,organic,1.0,0.0
2023-12-29,free,AU,direct,1.0,1.0
2023-12-29,enterprise,CA,paid_search,1.0,0.0
2023-12-29,pro,IN,organic,1.0,1.0
2023-12-29,free,UK,referral,1.0,0.0
2023-12-29,enterprise,UK,referral,1.0,0.0
2023-12-29,free,CA,organic,1.0,0.0
2023-12-29,enterprise,CA,referral,1.0,1.0
2023-12-28,free,AU,direct,1.0,0.0
2023-12-28,starter,US,email,1.0,0.0
2023-12-28,free,FR,email,1.0,0.0
2023-12-28,starter,DE,organic,1.0,0.0
2023-12-28,pro,IN,email,1.0,0.0
2023-12-28,pro,CA,email,1.0,0.0
2023-12-28,starter,BR,organic,1.0,0.0
2023-12-28,starter,AU,paid_search,1.0,0.0
2023-12-28,free,UK,referral,1.0,0.0
2023-12-28,enterprise,BR,direct,1.0,0.0
2023-12-28,pro,IN,direct,1.0,0.0
2023-12-28,pro,AU,referral,1.0,0.0
2023-12-28,free,UK,organic,1.0,0.0
2023-12-27,pro,CA,organic,1.0,0.0
2023-12-27,starter,US,referral,1.0,0.0
2023-12-27,starter,IN,referral,1.0,0.0
2023-12-27,starter,CA,paid_search,1.0,0.0
2023-12-27,free,UK,email,1.0,0.0
2023-12-27,starter,FR,referral,1.0,0.0
2023-12-27,pro,UK,direct,1.0,0.0
2023-12-27,free,AU,email,1.0,0.0
2023-12-27,enterprise,AU,referral,1.0,0.0
2023-12-26,starter,IN,referral,1.0,0.0
2023-12-26,free,UK,referral,1.0,0.0
2023-12-26,pro,UK,email,1.0,0.0
2023-12-26,starter,US,email,1.0,1.0
2023-12-26,free,FR,referral,1.0,0.0
2023-12-26,free,IN,email,1.0,0.0
2023-12-26,enterprise,US,referral,1.0,0.0
2023-12-25,starter,AU,direct,2.0,1.0
2023-12-25,starter,CA,referral,2.0,0.0
2023-12-25,pro,IN,email,1.0,0.0
2023-12-25,free,UK,email,1.0,0.0
